Зеленокумск (Ставропольский край),Численность населения 33 364
Чернушка (Пермский край),Численность населения 33 327
Корсаков (Сахалинская область),Численность населения 33 237
Азнакаево (Республика Татарстан),Численность населения 33 199
Дальнегорск (Приморский край),Численность населения 33 108
Коркино (Челябинская область),Численность населения 33 044
Гай (Оренбургская область),Численность населения 32 952
Сухой Лог (Свердловская область),Численность населения 32 935
Миллерово (Ростовская область),Численность населения 32 881
Луга (Ленинградская область),Численность населения 32 797
Вязники (Владимирская область),Численность населения 32 773
Богородск (Нижегородская область),Численность населения 32 746
Тында (Амурская область),Численность населения 32 677
Истра (Московская область),Численность населения 32 609
Трёхгорный (Челябинская область),Численность населения 32 509
Фурманов (Ивановская область),Численность населения 32 467
Нижнеудинск (Иркутская область),Численность населения 32 444
Вичуга (Ивановская область),Численность населения 32 394
Алатырь (Чувашская Республика - Чувашия),Численность населения 32 319
Тайшет (Иркутская область),Численность населения 32 124
Сланцы (Ленинградская область),Численность населения 31 948
Тавда ,Численность населения 31 850
Добрянка (Пермский край),Численность населения 31 574
Тейково (Ивановская область),Численность населения 31 343
Муравленко (Ямало-Ненецкий автономный округ),Численность населения 31 332
Нововоронеж (Воронежская область),Численность населения 31 313
Дюртюли (Республика Башкортостан),Численность населения 31 188
Приморско-Ахтарск (Краснодарский край),Численность населения 31 187
Углич (Ярославская область),Численность населения 31 135
Усть-Джегута (Карачаево-Черкесская Республика),Численность населения 31 085
Кулебаки (Нижегородская область),Численность населения 31 077
Вятские Поляны (Кировская область),Численность населения 31 055
Дедовск ,Численность населения 31 008
Нурлат (Республика Татарстан),Численность населения 31 006
Острогожск (Воронежская область),Численность населения 30 974
Слободской (Кировская область),Численность населения 30 937
Великий Устюг (Вологодская область),Численность населения 30 771
Шатура (Московская область),Численность населения 30 670
Луховицы (Московская область),Численность населения 30 488
Кохма (Ивановская область),Численность населения 30 471
Дагестанские Огни (Республика Дагестан),Численность населения 30 428
Нарткала (Кабардино-Балкарская Республика),Численность населения 30 387
Алушта (Республика Крым),Численность населения 30 319
Обь (Новосибирская область),Численность населения 30 287
Благодарный (Ставропольский край),Численность населения 30 216
Ростов (Ярославская область),Численность населения 30 145
Богородицк (Тульская область),Численность населения 30 008
Сердобск (Пензенская область),Численность населения 29 940
Маркс (Саратовская область),Численность населения 29 864
Кудымкар (Пермский край),Численность населения 29 853
Можайск ,Численность населения 29 836
Зима (Иркутская область),Численность населения 29 821
Костомукша (Республика Карелия),Численность населения 29 739
Киров (Калужская область),Численность населения 29 576
Артёмовский (Свердловская область),Численность населения 29 406
Борзя (Забайкальский край),Численность населения 29 286
Советский (Ханты-Мансийский автономный округ - Югра),Численность населения 29 204
Городец (Нижегородская область),Численность населения 29 103
Богданович (Свердловская область),Численность населения 29 081
Кандалакша (Мурманская область),Численность населения 29 047
Ликино-Дулёво ,Численность населения 28 783
Дивногорск (Красноярский край),Численность населения 28 668
Заречный (Свердловская область),Численность населения 28 635
Гагарин (Смоленская область),Численность населения 28 553
Тара (Омская область),Численность населения 28 527
Малоярославец (Калужская область),Численность населения 28 498
Барабинск (Новосибирская область),Численность населения 28 382
Славгород (Алтайский край),Численность населения 28 352
Котовск (Тамбовская область),Численность населения 28 322
Аша (Челябинская область),Численность населения 28 311
Курчалой (Чеченская Республика),Численность населения 28 225
Кондопога (Республика Карелия),Численность населения 28 150
Касимов (Рязанская область),Численность населения 28 074
Алейск (Алтайский край),Численность населения 27 976
Шумерля (Чувашская Республика - Чувашия),Численность населения 27 789
Карталы ,Численность населения 27 764
Гусев (Калининградская область),Численность населения 27 650
Петровск (Саратовская область),Численность населения 27 621
Еманжелинск (Челябинская область),Численность населения 27 572
Топки (Кемеровская область),Численность населения 27 437
Похвистнево (Самарская область),Численность населения 27 230
Кировск (Ленинградская область),Численность населения 27 209
Семилуки (Воронежская область),Численность населения 27 158
Старая Русса (Новгородская область),Численность населения 26 997
Балабаново (Калужская область),Численность населения 26 861
Десногорск (Смоленская область),Численность населения 26 840
Лабытнанги (Ямало-Ненецкий автономный округ),Численность населения 26 788
Сорочинск (Оренбургская область),Численность населения 26 673
Карасук (Новосибирская область),Численность населения 26 591
Красноармейск (Московская область),Численность населения 26 532
Заводоуковск (Тюменская область),Численность населения 26 499
Удомля (Тверская область),Численность населения 26 409
Соль-Илецк ,Численность населения 26 322
Кушва (Свердловская область),Численность населения 26 251
Киржач (Владимирская область),Численность населения 26 219
Киреевск ,Численность населения 26 129
Холмск (Сахалинская область),Численность населения 26 067
Верхний Уфалей (Челябинская область),Численность населения 26 062
Майский (Кабардино-Балкарская Республика),Численность населения 26 050
Новоалександровск (Ставропольский край),Численность населения 25 919
Новопавловск (Ставропольский край),Численность населения 25 908
Отрадное (Ленинградская область),Численность населения 25 878
Нарьян-Мар (Ненецкий автономный округ),Численность населения 25 795
Знаменск (Астраханская область),Численность населения 25 759
Бахчисарай (Республика Крым),Численность населения 25 664
Кировск (Мурманская область),Численность населения 25 586
Сосногорск (Республика Коми),Численность населения 25 521
Лосино-Петровский (Московская область),Численность населения 25 469
Полысаево (Кемеровская область),Численность населения 25 459
Дятьково (Брянская область),Численность населения 25 358
Сегежа (Республика Карелия),Численность населения 25 334
Камышлов ,Численность населения 25 269
Карпинск (Свердловская область),Численность населения 25 257
Октябрьск (Самарская область),Численность населения 25 221
Кимовск (Тульская область),Численность населения 24 841
Скопин (Рязанская область),Численность населения 24 804
Североуральск ,Численность населения 24 739
Железноводск (Ставропольский край),Численность населения 24 657
Янаул (Республика Башкортостан),Численность населения 24 619
Звенигород ,Численность населения 24 476
Красноперекопск (Республика Крым),Численность населения 24 463
Асино (Томская область),Численность населения 24 389
Озёры ,Численность населения 24 328
Дальнереченск (Приморский край),Численность населения 24 305
Нефтекумск (Ставропольский край),Численность населения 24 252
Саки (Республика Крым),Численность населения 24 146
Среднеуральск (Свердловская область),Численность населения 24 110
